"","date","adjusted.close","sentiment"
"1",2020-12-18,49.24,-0.0201991912542423
"2",2020-12-17,48.54,-0.0214669555998537
"3",2020-12-16,47.82,-0.0231927501906689
"4",2020-12-15,47.62,-0.0248531121724716
"5",2020-12-14,46.99,-0.0239594832013679
"6",2020-12-11,46.57,-0.0162884986914348
"7",2020-12-10,46.78,-0.0240768285003052
"8",2020-12-09,45.52,-0.0314953757636911
"9",2020-12-08,45.6,-0.0379888932143363
"10",2020-12-07,45.76,-0.0375403450810428
"11",2020-12-04,46.26,-0.0244972764120376
"12",2020-12-03,45.64,-0.0265510401276063
"13",2020-12-02,45.28,-0.0201493926392241
"14",2020-12-01,44.55,-0.0198611612786743
"15",2020-11-30,45.34,-0.0229728780018261
"16",2020-11-27,45.53,-0.0222459192778883
"17",2020-11-25,45.71,-0.0222583496233222
"18",2020-11-24,44.91,-0.0226013486760193
"19",2020-11-23,43.06,-0.0213507406694111
"20",2020-11-20,42.42,-0.0268163385738386
"21",2020-11-19,41.9,-0.0260054375608056
"22",2020-11-18,42.01,-0.0280896108917668
"23",2020-11-17,41.65,-0.0353232939053088
"24",2020-11-16,41.57,-0.0392827721701905
"25",2020-11-13,40.4,-0.0328764362009474
"26",2020-11-12,41.41,-0.0283244326642501
"27",2020-11-11,41.74,-0.0353705601324674
"28",2020-11-10,41.67,-0.0432796175935448
"29",2020-11-09,40.62,-0.0511925709885734
"30",2020-11-06,37.49,-0.0582274450655074
"31",2020-11-05,39.11,-0.054320473658433
"32",2020-11-04,39.47,-0.0522870371759395
"33",2020-11-03,37.99,-0.0572291508320103
"34",2020-11-02,37.18,-0.0652806967003713
"35",2020-10-30,36.15,-0.0618969074466028
"36",2020-10-29,36.51,-0.0587490453594468
"37",2020-10-28,37.72,-0.0627710284226674
"38",2020-10-27,39.87,-0.0640084630944998
"39",2020-10-26,38.89,-0.0659027437353759
"40",2020-10-23,40.15,-0.0556776175724788
"41",2020-10-22,40.94,-0.0592964488449375
"42",2020-10-21,40.31,-0.0609856023017845
"43",2020-10-20,41.97,-0.0607513848269396
"44",2020-10-19,41.34,-0.058728790352318
"45",2020-10-16,41.42,-0.0703390602186723
"46",2020-10-15,41.55,-0.0743526156187492
"47",2020-10-14,41.66,-0.078189354597435
"48",2020-10-13,40.85,-0.0846860048509488
"49",2020-10-12,40.11,-0.0916494465785538
"50",2020-10-09,41.27,-0.0831137991707474
"51",2020-10-08,41.81,-0.0802696480985418
"52",2020-10-07,40.59,-0.0847785231910528
"53",2020-10-06,41.27,-0.0829185613128244
"54",2020-10-05,39.89,-0.0888163936844079
"55",2020-10-02,37.74,-0.0919833702217502
"56",2020-10-01,39.38,-0.0901609363306212
"57",2020-09-30,40.79,-0.090579916903815
"58",2020-09-29,39.88,-0.0866694955923945
"59",2020-09-28,41.18,-0.0873066838508466
"60",2020-09-25,40.81,-0.0943564244624799
"61",2020-09-24,40.9,-0.0920818649729813
"62",2020-09-23,40.53,-0.0901975597076295
"63",2020-09-22,40.4,-0.0914543167705769
"64",2020-09-21,40.19,-0.0942571459655085
"65",2020-09-18,41.93,-0.089709506726996
"66",2020-09-17,41.87,-0.0923993755065081
"67",2020-09-16,41.1,-0.0893990278538727
"68",2020-09-15,39.38,-0.096546601163834
"69",2020-09-14,38.47,-0.102285940525665
"70",2020-09-11,38.56,-0.112147795178804
"71",2020-09-10,38.6,-0.109592771957372
"72",2020-09-09,39.34,-0.107372753134058
"73",2020-09-08,38.21,-0.107260074652469
"74",2020-09-04,41.02,-0.0784291255457515
"75",2020-09-03,42.5,-0.0731369560459143
"76",2020-09-02,42.6,-0.0725860678119616
"77",2020-09-01,43.75,-0.0737624990273868
"78",2020-08-31,43.53,-0.0812801235241644
"79",2020-08-28,43.94,-0.0628845760168311
"80",2020-08-27,43.91,-0.0683676570574746
"81",2020-08-26,44.31,-0.0707895264370378
"82",2020-08-25,44.24,-0.0739582585587188
"83",2020-08-24,43.6,-0.0751674949485903
"84",2020-08-21,43.23,-0.0742856508154778
"85",2020-08-20,43.7,-0.0719881922269425
"86",2020-08-19,43.98,-0.0692813602790533
"87",2020-08-18,44.06,-0.0682366842904969
